"Component Id",value,time,"Component Name"
5,24,"2013-06-30 06:40:00","bed room temp"
14,0,"2013-06-30 06:40:00","AC Power Consumption"
6,24,"2013-06-30 06:40:00","Salon temp"
16,6,"2013-06-30 06:40:00","Self Power Production"
13,0,"2013-06-30 06:40:00","Light Power Consumption"
16,7,"2013-06-30 07:00:00","Self Power Production"
13,0,"2013-06-30 07:00:00","Light Power Consumption"
15,4,"2013-06-30 07:00:00","Appliance Power Consumption"
5,24,"2013-06-30 07:00:00","bed room temp"
14,0,"2013-06-30 07:00:00","AC Power Consumption"
6,24,"2013-06-30 07:00:00","Salon temp"
14,0,"2013-06-30 07:20:00","AC Power Consumption"
6,24,"2013-06-30 07:20:00","Salon temp"
16,8,"2013-06-30 07:20:00","Self Power Production"
13,0,"2013-06-30 07:20:00","Light Power Consumption"
15,4,"2013-06-30 07:20:00","Appliance Power Consumption"
5,24,"2013-06-30 07:20:00","bed room temp"
13,0,"2013-06-30 07:40:00","Light Power Consumption"
15,6,"2013-06-30 07:40:00","Appliance Power Consumption"
5,24,"2013-06-30 07:40:00","bed room temp"
14,0,"2013-06-30 07:40:00","AC Power Consumption"
6,24,"2013-06-30 07:40:00","Salon temp"
16,10,"2013-06-30 07:40:00","Self Power Production"
6,25,"2013-06-30 08:00:00","Salon temp"
16,15,"2013-06-30 08:00:00","Self Power Production"
13,0,"2013-06-30 08:00:00","Light Power Consumption"
15,6,"2013-06-30 08:00:00","Appliance Power Consumption"
5,25,"2013-06-30 08:00:00","bed room temp"
14,0,"2013-06-30 08:00:00","AC Power Consumption"
15,6,"2013-06-30 08:20:00","Appliance Power Consumption"
5,25,"2013-06-30 08:20:00","bed room temp"
14,0,"2013-06-30 08:20:00","AC Power Consumption"
6,25,"2013-06-30 08:20:00","Salon temp"
16,19,"2013-06-30 08:20:00","Self Power Production"
13,0,"2013-06-30 08:20:00","Light Power Consumption"
16,21,"2013-06-30 08:40:00","Self Power Production"
13,0,"2013-06-30 08:40:00","Light Power Consumption"
15,5,"2013-06-30 08:40:00","Appliance Power Consumption"
5,25,"2013-06-30 08:40:00","bed room temp"
14,0,"2013-06-30 08:40:00","AC Power Consumption"
6,25,"2013-06-30 08:40:00","Salon temp"
5,25,"2013-06-30 09:00:00","bed room temp"
14,0,"2013-06-30 09:00:00","AC Power Consumption"
6,25,"2013-06-30 09:00:00","Salon temp"
16,23,"2013-06-30 09:00:00","Self Power Production"
13,0,"2013-06-30 09:00:00","Light Power Consumption"
15,6,"2013-06-30 09:00:00","Appliance Power Consumption"
13,0,"2013-06-30 09:20:00","Light Power Consumption"
15,4,"2013-06-30 09:20:00","Appliance Power Consumption"
5,25,"2013-06-30 09:20:00","bed room temp"
14,0,"2013-06-30 09:20:00","AC Power Consumption"
6,25,"2013-06-30 09:20:00","Salon temp"
